1,A:0.25;C:0.249;E:0.251;M:0.25
3,A:0.251;C:0.247;E:0.25;M:0.251
5,A:0.253;C:0.25;E:0.253;M:0.244
6,A:0.539;C:0.082;E:0.121;M:0.258
7,A:0.454;C:0.037;E:0.064;M:0.445
11,A:0.213;C:0.299;E:0.272;M:0.216
13,A:0.179;C:0.403;E:0.233;M:0.185
14,A:0.016;C:0.952;E:0.015;M:0.017
15,A:0.008;C:0.977;E:0.007;M:0.008
16,A:0.022;C:0.935;E:0.02;M:0.023
17,A:0.036;C:0.894;E:0.033;M:0.037
21,A:0.013;C:0.962;E:0.012;M:0.013
22,A:0.008;C:0.975;E:0.008;M:0.009
23,A:0.007;C:0.978;E:0.007;M:0.008
24,A:0.01;C:0.969;E:0.01;M:0.011
