Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.log.txt
Summary:                         False
Seed                             4032721794
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     2
Base frequency (PI's)            None
Character Symbols:               D,G
Using a covarion model:          False
Restrictions:
    qDG                          None
    qGD                          None
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Tree No	Lh	qDG	qGD	Root P(D)	Root P(G)	
1	-7.550301	5.441884	6.066461	0.144555	0.855445	
2	-7.439013	5.341572	4.576923	0.222662	0.777338	
3	-7.637118	6.352143	6.476818	0.195341	0.804659	
4	-7.604123	6.706603	5.772353	0.226221	0.773779	
5	-7.525569	5.816164	5.410476	0.200482	0.799518	
6	-7.807101	8.301756	7.480685	0.257565	0.742435	
7	-7.853490	5.899621	5.572103	0.237205	0.762795	
8	-7.698913	6.435725	5.818018	0.297084	0.702916	
9	-7.697234	6.971727	6.407257	0.256386	0.743614	
10	-7.490387	4.714608	4.896515	0.175007	0.824993	
11	-7.901922	5.126654	4.667368	0.169893	0.830107	
12	-6.960856	5.397173	4.730254	0.200245	0.799755	
13	-7.946212	7.015223	6.471157	0.227632	0.772368	
14	-8.356383	5.615362	5.825202	0.226919	0.773081	
15	-8.359230	5.666656	6.581138	0.182030	0.817970	
16	-8.401660	8.250301	6.926016	0.358187	0.641813	
17	-8.463654	7.937983	7.686582	0.237596	0.762404	
18	-7.147014	5.042349	6.027222	0.100014	0.899986	
19	-8.145006	7.551401	6.225973	0.267052	0.732948	
20	-7.648293	7.724230	5.874889	0.260102	0.739898	
21	-7.413031	5.325185	4.516635	0.218715	0.781285	
22	-7.819413	6.383015	6.716681	0.153137	0.846863	
23	-7.813190	5.667299	4.940238	0.303723	0.696277	
24	-7.976246	5.781805	4.953792	0.270736	0.729264	
25	-7.449731	6.339620	5.055573	0.210727	0.789273	
26	-7.616866	7.073996	6.805431	0.264568	0.735432	
27	-8.131229	7.636761	6.400485	0.352390	0.647610	
28	-7.988167	6.237919	6.482039	0.189065	0.810935	
29	-7.807083	6.241296	4.657274	0.191602	0.808398	
30	-7.182072	5.870227	4.931657	0.237730	0.762270	
31	-7.936145	5.345462	5.529124	0.195413	0.804587	
32	-7.588502	7.723315	5.747197	0.302869	0.697131	
33	-7.835729	6.505568	5.834520	0.269038	0.730962	
34	-7.721806	6.093157	5.251126	0.298859	0.701141	
35	-8.048158	6.832039	6.334163	0.251717	0.748283	
36	-7.529886	6.860199	5.877793	0.246435	0.753565	
37	-7.814078	8.460184	6.358093	0.283908	0.716092	
38	-7.824422	8.176556	6.994661	0.341512	0.658488	
39	-7.630732	7.069209	5.706185	0.253063	0.746937	
40	-7.098561	6.958558	6.011574	0.244915	0.755085	
41	-7.343079	4.674831	5.504096	0.148961	0.851039	
42	-7.695202	6.915176	5.203808	0.285362	0.714638	
43	-7.354483	5.889540	4.802936	0.308430	0.691570	
44	-8.197635	4.244486	5.335401	0.101560	0.898440	
45	-7.715977	6.603149	5.714927	0.221850	0.778150	
46	-7.353935	7.390593	6.588880	0.181546	0.818454	
47	-7.412083	6.381620	5.759825	0.188951	0.811049	
48	-7.563073	5.103920	4.926124	0.138131	0.861869	
49	-7.267515	6.444019	6.550846	0.157029	0.842971	
50	-7.855010	6.966223	5.873764	0.259642	0.740358	
51	-7.593937	6.530192	6.162831	0.277015	0.722985	
52	-7.647261	5.179813	5.060788	0.195190	0.804810	
53	-7.714739	6.003041	4.953346	0.195522	0.804478	
54	-7.517446	5.771134	5.618460	0.250392	0.749608	
55	-7.692252	6.536610	6.050929	0.206015	0.793985	
56	-7.416525	4.559786	4.720691	0.120939	0.879061	
57	-7.549055	5.508272	6.192173	0.112653	0.887347	
58	-7.614685	5.351628	5.267687	0.158738	0.841262	
59	-7.233956	5.934609	5.824878	0.200399	0.799601	
60	-7.713396	7.483111	6.190273	0.320393	0.679607	
61	-8.029090	5.789010	5.369993	0.136397	0.863603	
62	-7.619323	6.730704	5.827779	0.258436	0.741564	
63	-7.200272	6.518982	5.570854	0.152839	0.847161	
64	-7.668925	7.118049	6.163926	0.219655	0.780345	
65	-7.675184	5.358660	5.199085	0.162173	0.837827	
66	-7.379474	6.138577	5.778718	0.176043	0.823957	
67	-7.664927	6.934381	5.787330	0.252841	0.747159	
68	-7.844812	7.269190	6.204772	0.250791	0.749209	
69	-7.809176	6.475120	6.041073	0.214001	0.785999	
70	-7.995635	5.788400	5.419335	0.211665	0.788335	
71	-7.893719	6.441385	6.061989	0.270863	0.729137	
72	-7.496448	6.526975	5.343972	0.284618	0.715382	
73	-7.616678	5.135677	5.419204	0.152524	0.847476	
74	-7.959720	5.624888	5.516641	0.197871	0.802129	
75	-7.758182	6.194157	5.848206	0.260139	0.739861	
76	-7.561923	7.746302	6.346918	0.249892	0.750108	
77	-7.652577	8.209846	6.650688	0.343645	0.656355	
78	-7.675002	4.858768	5.218206	0.125599	0.874401	
79	-7.197979	8.141031	6.116015	0.279722	0.720278	
80	-7.656395	3.951539	4.865105	0.096241	0.903759	
81	-8.069508	7.247466	5.429255	0.288284	0.711716	
82	-7.125715	4.923866	4.794355	0.188686	0.811314	
83	-8.087494	5.507089	4.224353	0.283931	0.716069	
84	-7.298879	8.100944	6.242858	0.286047	0.713953	
85	-7.452010	4.672504	5.608309	0.111943	0.888057	
86	-7.310762	5.101901	4.631419	0.155767	0.844233	
87	-8.093706	8.055750	7.368902	0.264214	0.735786	
88	-7.922466	5.188299	4.592619	0.169657	0.830343	
89	-7.274497	7.814993	6.075480	0.305769	0.694231	
90	-8.093212	6.986435	6.319618	0.255410	0.744590	
91	-8.231478	7.447691	5.463790	0.348009	0.651991	
92	-7.743120	5.237529	5.435544	0.087933	0.912067	
93	-7.308476	5.973988	5.616735	0.189255	0.810745	
94	-7.686867	8.527638	6.916895	0.258915	0.741085	
95	-7.910552	9.643527	7.630962	0.296635	0.703365	
96	-7.334742	7.295054	5.661229	0.233166	0.766834	
97	-8.559368	7.077594	6.687071	0.301948	0.698052	
98	-7.991927	7.511677	5.639246	0.283716	0.716284	
99	-7.717923	8.678370	5.538286	0.337318	0.662682	
100	-7.755456	6.727995	6.286777	0.248629	0.751371	
101	-7.493821	6.609227	5.546043	0.259925	0.740075	
102	-7.334723	5.607588	5.694630	0.166602	0.833398	
103	-7.827835	5.971662	5.267977	0.210237	0.789763	
104	-7.716803	9.528181	7.112045	0.297195	0.702805	
105	-7.706919	4.040169	5.655443	0.090135	0.909865	
106	-7.663506	6.690369	5.607449	0.226415	0.773585	
107	-7.514890	7.346054	5.789258	0.291502	0.708498	
108	-7.927995	5.821099	5.264179	0.280438	0.719562	
109	-7.596728	6.455890	4.871725	0.270588	0.729412	
110	-7.904802	6.994317	5.842474	0.308023	0.691977	
111	-7.686498	8.156210	6.630392	0.281079	0.718921	
112	-7.302854	7.187662	5.700415	0.240916	0.759084	
113	-7.756083	6.594460	6.249762	0.201691	0.798309	
114	-7.177939	6.052342	6.038918	0.183581	0.816419	
115	-7.694770	7.594127	6.645098	0.292530	0.707470	
116	-7.943826	8.449509	7.189020	0.276398	0.723602	
117	-7.703220	7.876055	6.043785	0.331342	0.668658	
118	-7.586572	5.701856	4.808985	0.227804	0.772196	
119	-8.098466	6.953129	6.441071	0.300560	0.699440	
120	-7.803523	7.200814	5.142178	0.347457	0.652543	
121	-7.383543	7.217993	5.758389	0.306305	0.693695	
122	-8.065498	5.914004	5.575129	0.198430	0.801570	
123	-7.931002	7.173810	6.987118	0.194744	0.805256	
124	-7.348597	5.867744	4.397706	0.235805	0.764195	
125	-7.375156	3.978388	4.134498	0.152623	0.847377	
126	-7.555285	6.344885	5.050449	0.225672	0.774328	
127	-7.660031	7.792892	6.166386	0.257063	0.742937	
128	-8.142665	5.143962	5.765442	0.121158	0.878842	
129	-7.411383	6.557838	6.146423	0.201397	0.798603	
130	-7.442908	6.691710	5.867979	0.249682	0.750318	
131	-7.828548	7.816340	6.513791	0.237456	0.762544	
132	-7.515728	7.224740	6.787405	0.235697	0.764303	
133	-8.019158	7.284703	6.437151	0.228732	0.771268	
134	-7.440037	7.139951	6.685074	0.284121	0.715879	
135	-7.130442	5.916964	4.892372	0.257702	0.742298	
136	-7.601919	7.075315	5.807356	0.245282	0.754718	
137	-7.783456	6.906047	5.960515	0.261986	0.738014	
138	-7.295727	5.347208	5.191305	0.170129	0.829871	
139	-7.478606	6.191487	5.521148	0.238633	0.761367	
140	-7.771505	8.359597	7.350136	0.335903	0.664097	
141	-7.421089	5.252875	6.357959	0.074564	0.925436	
142	-7.862498	6.656330	5.424791	0.331092	0.668908	
143	-7.790596	7.382042	6.587763	0.339613	0.660387	
144	-8.275609	7.671261	6.561630	0.337414	0.662586	
145	-7.037028	3.890797	4.302026	0.110425	0.889575	
146	-7.707504	6.879823	5.493612	0.237137	0.762863	
147	-7.474977	7.528484	6.450020	0.289401	0.710599	
148	-8.372400	7.935001	7.577756	0.338135	0.661865	
149	-7.909962	6.013919	6.402505	0.123663	0.876337	
150	-8.030884	5.429585	5.328415	0.145559	0.854441	
151	-7.836186	6.033960	5.764763	0.195112	0.804888	
152	-8.105532	7.655451	6.366017	0.280561	0.719439	
153	-7.848042	5.285655	5.571146	0.211496	0.788504	
154	-8.006628	6.059156	6.285305	0.232407	0.767593	
155	-7.970265	7.048976	6.375846	0.211587	0.788413	
156	-7.425980	6.015551	5.205615	0.200722	0.799278	
157	-7.636167	7.430320	5.759975	0.357183	0.642817	
158	-7.493114	5.897366	5.397064	0.235443	0.764557	
159	-7.595342	5.503649	5.258998	0.197180	0.802820	
160	-8.286639	7.015861	5.971842	0.227631	0.772369	
161	-7.737717	5.559799	4.836293	0.244184	0.755816	
162	-8.232524	5.668685	5.968815	0.193128	0.806872	
163	-7.923013	6.101280	5.179001	0.217505	0.782495	
164	-7.513330	8.215585	6.817301	0.319390	0.680610	
165	-7.870905	8.330748	6.892493	0.294627	0.705373	
166	-8.332236	5.646176	5.699915	0.176307	0.823693	
167	-7.451215	6.588813	6.235531	0.222290	0.777710	
168	-7.798827	5.892370	5.384898	0.275873	0.724127	
169	-7.483777	5.829100	5.281989	0.263733	0.736267	
170	-7.618129	5.990878	6.467055	0.205719	0.794281	
171	-7.594412	7.418758	5.504491	0.283676	0.716324	
172	-7.775535	6.270618	5.723163	0.206868	0.793132	
173	-7.665317	5.549425	5.515608	0.187457	0.812543	
174	-7.483294	8.550600	7.349518	0.290530	0.709470	
175	-7.986048	5.156482	5.124257	0.189975	0.810025	
176	-7.948107	6.553223	6.092107	0.179419	0.820581	
177	-7.863931	5.467859	5.140535	0.225959	0.774041	
178	-7.169690	7.050266	5.513461	0.316335	0.683665	
179	-8.280738	6.430280	5.737680	0.230802	0.769198	
180	-7.786341	5.123508	6.007627	0.152944	0.847056	
181	-7.361449	7.385903	5.821218	0.210808	0.789192	
182	-7.830809	6.102348	5.448816	0.308006	0.691994	
183	-8.317095	7.652939	6.536727	0.221852	0.778148	
